ID,Notional,MtM,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1y,2y,3y,4y,5y,10y
42,2694000,3000,0.000280205,0.001222238,-841.012861,-310.3825382,0,0,0,0,0,0,0,0,0,0,0,0,0
43,11742000,-81000,-0.001161578,-0.004762826,105.8936414,49.40169605,-0.029192699,-251.804653,-0.052145748,-0.073128305,191.1482239,210.5476941,-0.136269454,-297.0073337,-1.644223199,13.48338189,44718.77004,24094.45481,0
44,52121000,85000,0.006018547,0.021373113,-15324.27009,-7573.261067,0,0,0,0,0,0,0,0,0,0,0,0,0
45,11818000,-86000,-0.001365811,-0.004770155,107.6176272,54.44670189,-0.029251238,-300.236099,-0.05780822,-0.071841517,196.3019369,202.035109,-0.115727889,-272.2955539,-1.586543682,13.75740304,46423.11964,21055.06499,0
46,12121000,-137000,-0.001260577,-0.005493105,97.44807726,62.70914985,-0.028818236,-300.7791782,-0.053126839,-0.082000033,226.0225662,199.918373,-0.136304025,-302.6102709,-3.277407874,11.36984099,41103.22262,22728.23869,0
47,12121000,137000,0.001222754,0.005454249,-88.78337844,-71.23846508,0.029266074,263.7090324,0.062731464,0.072212836,-219.7347794,-216.4558942,0.142526917,299.6207742,3.408103147,-11.99431891,-42486.07764,-21583.12004,0
48,23485000,265000,0.002782922,0.010455389,-195.1694666,-119.2400767,0.054064555,549.6947611,0.108795924,0.136119332,-393.0497405,-387.1758971,0.244720389,507.5865538,6.90457507,-26.38307556,-89127.10933,-43808.44421,0
49,11742000,142000,0.001187152,0.004601944,-104.1522762,-69.65721223,0.028986877,275.3237803,0.060232997,0.069297934,-205.0606532,-193.07638,0.137651702,260.6026047,3.147581282,-12.31327875,-45623.04359,-22029.54455,0
50,11742000,151000,0.001224253,0.005413679,-103.9800657,-64.39212067,0.02957128,251.8894178,0.056634164,0.07226683,-207.86579,-200.978361,0.138656535,259.6536537,3.245016676,-11.59667113,-47309.04074,-22676.36407,0
51,26515000,118000,0.003146278,0.010353692,-195.7429886,-206.3194189,0.061945629,169.9302472,0.134947399,0.169856142,-416.3030432,-413.9814962,0.272351112,-24617.74736,-24136.39111,0,0,0,0
52,11742000,-114000,-0.001354189,-0.00454071,79.06977992,80.27526113,-0.029281796,-287.6965253,-0.053764886,-0.074703098,206.1615919,192.8668934,-0.124103776,-282.7865097,-1.724756761,11.12490312,46598.78846,23115.10813,0
53,27273000,120000,0.002820158,0.010670934,-176.7447858,-176.9216676,0.060937231,199.3005443,0.139964198,0.160613066,-441.3562187,-424.7969972,0.275588947,-24075.13013,-20604.55857,0,0,0,0
54,26515000,114000,0.003058569,0.011548439,-195.389884,-193.3773428,0.069756905,178.7144893,0.116221966,0.176365304,-485.5432084,-434.4621655,0.288913444,-25375.95616,-22497.25116,0,0,0,0
55,12121000,-115000,-0.001242582,-0.004891911,74.93693332,78.83410619,-0.031618186,-268.6600974,-0.053438505,-0.068458179,215.568471,218.5834223,-0.133394945,-298.8917649,-2.009288837,12.44243843,48930.67072,23130.05632,0
